Num of samples,Num of violations,Min distance,Max distance,Mean distance,Std distance,Total time (s)
100.0,19.0,0.08210137313578846,0.5089638213588432,0.2604373066029082,0.11359396209622848,4547.705006
100.0,25.0,0.02622317713990854,0.46765272506441585,0.18297676315032704,0.1321067272995336,4401.648499
100.0,30.0,0.03089359156323478,0.5178993110189966,0.22908319542190947,0.12740432420319706,3934.173847
300.0,74.0,0.02622317713990854,0.5178993110189966,0.22155707793068533,0.12924211398304766,12883.527352
