Num of samples,Num of violations,Min distance,Max distance,Mean distance,Std distance,Total time (s)
100.0,24.0,0.39291742359346143,0.6859717386912578,0.5219513782501175,0.07207958055143476,3653.478662
100.0,29.0,0.3359903480031336,0.6109984701210353,0.4858361471940443,0.07945865904876517,3777.118354
100.0,37.0,0.3682137406338574,0.6752408628569135,0.5035494919611438,0.0741331035208246,3506.177317
300.0,90.0,0.3359903480031336,0.6859717386912578,0.5027490283243604,0.07661577610849771,10936.774333
