dist,sample,group
0.25559764446637123,125,cma
0.3181551329070432,125,cma
0.2423311891422058,125,cma
0.240041718010764,125,cma
0.2562562615874613,125,cma
0.2536369180395939,125,cma
0.263142519310186,125,cma
0.26394761039511666,125,cma
0.2692447676859975,125,cma
0.25210942178982965,125,cma
0.27611793741705704,50,cma
0.24272339901923892,50,cma
0.2423171531685788,50,cma
0.2478998095640468,50,cma
0.3187322849632373,50,cma
0.26620899176269114,50,cma
0.300678678531323,50,cma
0.2545489523482857,50,cma
0.2832136748305542,50,cma
0.24762121650890803,50,cma
0.25419083658447506,150,cma
0.30718319845327174,150,cma
0.2474144934184366,150,cma
0.2567556247966585,150,cma
0.24863963227070815,150,cma
0.25309377553324514,150,cma
0.2584098319704273,150,cma
0.2574182137428664,150,cma
0.25979082765245104,150,cma
0.35314587179824225,150,cma
0.2515816409796528,100,cma
0.2714945779944216,100,cma
0.2562507708688244,100,cma
0.2611145154398276,100,cma
0.2506061130662553,100,cma
0.2754777699560161,100,cma
0.2387404340608505,100,cma
0.27579397344677503,100,cma
0.25507776067516436,100,cma
0.2697472905471201,100,cma
0.2457571208693705,75,cma
0.2597133225386803,75,cma
0.2662441600349289,75,cma
0.2405077201079233,75,cma
0.2696359325317387,75,cma
0.2643527363538167,75,cma
0.27225385977340893,75,cma
0.27106394918561666,75,cma
0.24666991999387097,75,cma
0.2538873352517888,75,cma
0.2676239566950665,125,random
0.26658912032366416,125,random
0.25039955954477466,125,random
0.2723584004358963,125,random
0.2572186794426686,125,random
0.255967568508808,125,random
0.2545122001577417,125,random
0.2723584004358963,125,random
0.2800886901482924,125,random
0.27839952410643143,125,random
0.24591361916984147,150,random
0.25284001058784183,150,random
0.24923714109450065,150,random
0.25282140125735886,150,random
0.25079808934103326,150,random
0.26479302517736,150,random
0.2691974760206049,150,random
0.2579351892430648,150,random
0.2593660833503161,150,random
0.27182921280706446,150,random
0.2654141460181552,75,random
0.27534221965318567,75,random
0.2569018491651859,75,random
0.27742589348952196,75,random
0.26441952318620005,75,random
0.27445290911970577,75,random
0.26584000473892666,75,random
0.2752082388079056,75,random
0.30179413726493454,75,random
0.2903403420690665,75,random
0.27013818752138463,100,random
0.25013903476090343,100,random
0.2841870192073963,100,random
0.26415077554066796,100,random
0.25402152693670826,100,random
0.2596675184662981,100,random
0.2602424237761314,100,random
0.2638866130595688,100,random
0.2649364789662591,100,random
0.25495971651644994,100,random
0.2770844796482204,50,random
0.2441815536623288,50,random
0.29019065116459347,50,random
0.26163766282638196,50,random
0.3166361712104476,50,random
0.2681776513770069,50,random
0.2910032949521388,50,random
0.2802131507393867,50,random
0.2885667431780144,50,random
0.2663243382669148,50,random
